,character,frequency,number_of_strokes
4305,諫,225,6
4306,譁,225,9
4307,黌,225,5
4308,碾,224,5
4309,癟,224,9
4310,鰭,224,1
4311,檜,223,7
4312,齦,223,1
4313,毘,223,9
4314,覷,223,9
4315,帷,222,1
4316,礪,222,0
4317,魘,221,4
4318,晌,220,0
4319,缽,220,1
4320,蜿,220,4
4321,墩,220,5
4322,浯,220,0
4323,燊,220,6
4324,捆,219,0
4325,嵌,219,2
4326,釆,218,7
4327,謨,218,8
4328,徛,218,1
4329,脕,218,1
4330,茸,217,0
4331,獗,217,5
4332,鯤,217,9
4333,泱,216,8
4334,栓,216,0
4335,崧,216,1
4336,啐,216,1
4337,祀,215,8
4338,崁,215,0
4339,舫,215,0
4340,陲,215,2
4341,姍,214,8
4342,捻,214,1
4343,琛,214,2
4344,蛟,214,2
4345,磺,214,7
4346,謐,214,7
4347,咋,213,8
4348,閤,213,4
4349,瀅,213,8
4350,蝌,212,5
4351,鋤,212,5
4352,埵,212,2
4353,弛,211,6
4354,箇,211,4
4355,踞,211,5
4356,窿,211,7
4357,鼾,211,7
4358,匝,210,5
4359,荏,210,0
4360,滌,210,4
4361,踵,210,6
4362,蹶,210,9
4363,帑,209,8
4364,糰,209,0
4365,獃,209,4
4366,燁,209,6
4367,掬,208,1
4368,吒,207,6
4369,窪,207,4
4370,燻,207,8
4371,躋,206,1
4372,弭,205,9
4373,醞,205,7
4374,傯,204,3
4375,磐,203,5
4376,夯,203,5
4377,嗇,202,3
4378,酯,202,3
4379,捱,201,1
4380,蕨,201,6
4381,摃,201,3
4382,葯,201,3
4383,忝,200,8
4384,嗟,200,3
4385,絹,200,3
4386,鉀,200,3
4387,瞿,200,8
4388,鰍,200,0
4389,鄺,200,8
4390,舶,199,1
4391,晾,199,2
4392,嬤,199,7
4393,鞦,199,8
4394,繾,199,0
4395,萏,198,2
4396,軋,197,8
4397,嬸,197,8
4398,狩,196,9
4399,蚪,196,0
4400,詒,196,2
4401,爰,195,9
4402,楔,195,3
4403,擘,195,7
4404,獰,195,7
4405,縹,195,7
4406,鷸,195,3
4407,隹,194,8
4408,埤,194,1
4409,慍,193,3
4410,猾,193,3
4411,箝,193,4
4412,餚,193,6
4413,濡,193,7
4414,蹬,193,9
4415,騖,193,9
4416,鐮,193,1
4417,囈,193,2
4418,芎,193,7
4419,胱,192,0
4420,湮,192,2
4421,獺,192,9
4422,嗝,192,3
4423,恫,191,9
4424,菡,191,2
4425,琥,190,2
4426,鈾,190,3
4427,嚏,190,7
4428,啻,189,2
4429,邢,188,7
4430,偃,188,1
4431,楹,188,3
4432,閡,188,4
4433,颯,188,4
4434,蟒,188,7
4435,鼴,188,2
4436,眈,188,9
4437,謅,188,7
4438,剁,187,8
4439,宦,187,9
4440,犁,187,1
4441,翌,187,1
4442,稷,187,5
4443,閭,187,5
4444,儐,187,6
4445,忖,186,6
4446,槐,186,4
4447,箕,186,4
4448,稼,186,5
4449,箴,186,5
4450,戕,185,8
4451,喋,185,2
4452,瘍,185,4
4453,埕,185,0
4454,甯,185,2
4455,湍,184,2
4456,暝,184,4
4457,襠,184,8
4458,綣,184,4
4459,牴,183,9
4460,叟,183,0
4461,琍,183,1
4462,懾,183,1
4463,槙,183,4
4464,薈,183,7
4465,皿,182,5
4466,沅,182,7
4467,砷,182,0
4468,逖,182,1
4469,瑯,182,3
4470,嫵,182,5
4471,韆,182,4
4472,佞,181,7
4473,囤,181,7
4474,篆,181,5
4475,鯛,181,9
4476,菈,181,2
4477,梆,180,1
4478,詆,180,2
4479,軼,180,2
4480,錮,180,6
4481,饞,180,5
4482,樕,180,5
4483,猷,179,3
4484,緞,179,5
4485,頷,179,6
4486,豨,179,4
4487,迸,178,0
4488,釜,178,0
4489,蛆,178,1
4490,愎,178,2
4491,瑙,178,3
4492,諍,178,5
4493,瀧,178,9
4494,鷲,178,3
4495,阜,177,8
4496,俎,177,9
4497,褓,177,4
4498,濘,177,7
4499,玆,176,0
4500,醃,176,5
4501,攫,176,3
4502,怦,176,8
4503,昴,176,9
4504,嵋,176,2
4505,詡,176,3
4506,宥,175,9
4507,喫,175,2
4508,暄,175,3
4509,幗,175,4
4510,甡,175,0
4511,晞,174,1
4512,跚,174,2
4513,睪,174,3
4514,臧,174,4
4515,駑,174,5
4516,纓,174,3
4517,痧,174,2
4518,璉,174,5
4519,嘮,173,5
4520,儻,173,2
4521,捎,172,0
4522,惻,172,2
4523,睨,172,3
4524,衲,172,9
4525,杳,171,8
4526,姣,171,9
4527,拮,171,9
4528,槁,171,4
4529,彧,171,0
4530,栱,171,0
4531,婢,170,1
4532,簑,170,6
4533,忑,170,7
4534,腮,169,3
4535,鉻,169,4
4536,蝨,169,5
4537,躅,169,0
4538,霽,169,2
4539,忐,169,7
4540,嬿,169,9
4541,駟,168,5
4542,炘,168,8
4543,妤,167,7
4544,忪,167,7
4545,秧,167,0
4546,渙,167,2
4547,氨,166,0
4548,滕,166,5
4549,殯,166,8
4550,躑,166,2
4551,猙,165,1
4552,戟,165,2
4553,僮,165,4
4554,馱,164,3
4555,癩,164,1
4556,鰣,164,1
4557,聒,163,2
4558,嫦,163,4
4559,錡,163,6
4560,謫,163,8
4561,姒,162,8
4562,餉,162,4
4563,癈,162,7
4564,驊,162,2
4565,胭,161,0
4566,菅,161,2
4567,緲,161,5
4568,淂,161,1
4569,棣,160,2
4570,姝,160,9
4571,堐,160,1
4572,据,160,1
4573,紕,159,0
4574,捺,159,1
4575,犛,159,5
4576,椿,159,3
4577,嗷,158,4
4578,嘈,158,4
4579,醺,158,1
4580,軔,157,0
4581,涎,157,1
4582,鹵,157,1
4583,鈉,157,2
4584,鏗,157,9
4585,蜒,157,4
4586,浚,156,0
4587,婁,156,1
4588,罈,156,8
4589,嶙,156,5
4590,蝟,156,5
4591,郢,155,0
4592,拴,154,9
4593,蓀,154,4
4594,鋰,154,5
4595,邋,154,9
4596,猝,154,1
4597,倭,153,0
4598,脯,153,1
4599,滬,153,4
4600,銲,153,5
4601,甕,153,8
4602,鱸,153,7
4603,啵,153,1
4604,悌,152,0
4605,胳,152,0
4606,胯,152,0
4607,膊,152,4
4608,爿,151,4
4609,峋,151,9
4610,涘,151,0
4611,潁,151,5
4612,獠,151,5
4613,邑,150,7
4614,腋,150,2
4615,瘁,150,3
4616,坻,150,8
4617,暾,150,6
4618,鮀,150,6
4619,舴,149,1
4620,岌,148,7
4621,帘,148,8
4622,柑,148,9
4623,觔,148,9
4624,桀,148,0
4625,莠,148,1
4626,喟,148,2
4627,綵,148,4
4628,袓,148,0
4629,鈃,148,2
4630,澍,148,5
4631,耆,147,0
4632,瞠,147,6
4633,沚,147,7
4634,珣,147,0
4635,蛢,147,2
4636,褉,147,4
4637,糸,146,6
4638,痢,146,2
4639,腓,146,2
4640,蹴,146,9
4641,伝,146,6
4642,勺,145,3
4643,飴,145,3
4644,熨,145,5
4645,餛,145,6
4646,芩,145,8
4647,叼,144,5
4648,韭,144,9
4649,娩,144,0
4650,誑,144,4
4651,幡,144,5
4652,鑠,144,3
4653,膫,144,6
4654,璐,144,7
4655,鑞,144,3
4656,嫡,143,4
4657,犢,143,9
4658,挓,143,9
4659,唰,143,1
4660,蕤,143,6
4661,帛,142,8
4662,庖,142,8
4663,諉,142,5
4664,晡,142,1
4665,枰,141,9
4666,淅,141,1
4667,鋅,141,5
4668,荔,140,0
4669,紂,139,9
4670,葩,139,3
4671,緘,139,5
4672,擰,139,7
4673,躡,139,5
4674,豊,139,3
4675,烯,138,1
4676,跺,138,3
4677,甬,137,7
4678,邸,137,8
4679,氟,137,9
4680,榛,137,4
4681,璣,137,6
4682,倜,137,0
4683,焢,137,2
4684,佚,136,7
4685,疝,136,8
4686,盅,136,9
4687,噤,136,6
4688,燴,136,7
4689,窖,135,2
4690,燬,135,7
4691,珂,135,9
4692,摀,135,3
4693,櫓,134,9
4694,佶,134,8
4695,烊,133,0
4696,淙,133,1
4697,挹,133,0
4698,菀,133,2
4699,獼,133,0
4700,卞,132,4
4701,帚,132,8
4702,洱,132,9
4703,諛,132,5
4704,鵠,132,8
4705,鏤,132,9
4706,洐,132,9
4707,酮,132,3
4708,蹛,132,8
4709,炤,131,9
4710,碉,131,3
4711,蹣,131,8
4712,坵,131,8
4713,氦,130,0
4714,蓑,130,4
4715,藪,130,9
4716,矬,130,2
4717,臾,129,8
4718,舀,129,0
4719,蔻,129,5
4720,儔,128,6
4721,恚,128,0
4722,菫,128,2
4723,雎,128,3
4724,匾,127,1
4725,夤,127,4
4726,熒,127,4
4727,遢,127,4
4728,哆,127,9
4729,苳,127,9
4730,踽,127,6
4731,揩,126,2
4732,棹,126,2
4733,鳶,126,4
4734,壅,126,6
4735,謁,126,6
4736,壑,126,7
4737,鍰,126,7
4738,謳,126,8
4739,衹,125,9
4740,渤,125,2
4741,顎,125,8
4742,沝,125,8
4743,氰,125,2
4744,蛭,124,2
4745,呣,124,8
4746,胛,123,9
4747,涪,123,1
4748,畦,123,1
4749,颳,123,5
4750,繚,123,8
4751,邈,123,8
4752,幄,123,2
4753,睇,123,2
4754,臊,123,7
4755,刈,122,4
4756,肓,122,7
4757,臬,122,0
4758,蹼,122,9
4759,尻,122,5
4760,捀,122,0
4761,羡,122,2
4762,泵,121,9
4763,紲,121,1
4764,孃,121,0
4765,蠕,121,0
4766,銂,121,4
4767,轆,121,8
4768,戍,120,6
4769,刨,120,7
4770,拄,120,8
4771,渭,120,2
4772,嘹,120,5
4773,膾,120,7
4774,蹙,120,8
4775,啷,120,2
4776,蠋,120,9
4777,歿,119,8
4778,絳,119,2
4779,愍,119,3
4780,礫,119,0
4781,兀,119,3
4782,夆,119,7
4783,恪,118,9
4784,淩,118,1
4785,蝎,118,5
4786,囪,117,7
4787,嚶,117,0
4788,蠔,116,0
4789,贛,116,4
4790,忉,116,5
4791,捩,115,1
4792,掣,115,2
4793,撬,115,5
4794,黔,115,6
4795,罄,115,7
4796,芊,115,7
4797,矕,115,4
4798,孑,114,3
4799,伕,114,6
4800,陛,114,0
4801,脩,114,1
4802,鎢,114,8
4803,譟,114,0
4804,揶,114,2
4805,鄔,114,3
4806,靳,114,3
4807,陝,113,0
4808,扈,113,1
4809,痙,113,2
4810,蔘,113,5
4811,蹧,113,8
4812,氐,112,5
4813,趺,112,1
4814,甥,112,2
4815,蹊,112,7
4816,躂,112,0
4817,湠,112,2
4818,謢,112,7
4819,贀,112,8
4820,亳,111,0
4821,飩,111,2
4822,賃,111,3
4823,宕,111,8
4824,苹,111,9
4825,詘,111,2
4826,嗄,111,3
4827,粼,111,4
4828,貲,110,3
4829,榭,110,4
4830,覦,110,6
4831,纔,110,3
4832,硐,110,1
4833,圜,110,6
4834,綑,109,3
4835,嘀,109,4
4836,鮫,109,7
4837,岍,109,7
4838,坳,109,8
4839,葄,109,3
4840,熏,109,4
4841,刎,108,6
4842,潸,108,5
4843,鼬,108,8
4844,顥,108,1
4845,拺,108,9
4846,昝,108,9
4847,桎,108,0
4848,頇,108,2
4849,訖,107,0
4850,婀,107,1
4851,淬,107,1
4852,輟,107,5
4853,愔,107,2
4854,揄,107,2
4855,壼,107,3
4856,趐,107,3
4857,墬,107,5
4858,稹,107,5
4859,埂,106,0
4860,蚜,106,0
4861,靼,106,4
4862,彊,106,6
4863,沓,106,8
4864,砉,106,9
4865,罡,106,0
4866,彫,105,1
4867,諼,105,6
4868,覬,105,7
4869,褟,105,5
4870,靛,104,6
4871,鷓,104,2
4872,屄,104,8
4873,迵,104,0
4874,欉,104,2
4875,祚,103,0
4876,銼,103,5
4877,褸,103,6
4878,攙,103,0
4879,脛,103,1
4880,筌,103,2
4881,礡,103,9
4882,珪,102,0
4883,摑,102,4
4884,柜,102,9
4885,柰,102,9
4886,崽,102,2
4887,筊,102,2
4888,蓼,102,5
4889,蝣,102,5
4890,賁,101,2
4891,晟,101,0
4892,椆,101,2
4893,焙,100,2
4894,雹,100,3
4895,賑,100,4
4896,賸,100,7
4897,獷,100,8
4898,昃,100,8
4899,撂,100,4
4900,鬟,100,3
4901,炕,99,8
4902,囿,99,9
4903,軛,99,1
4904,搾,99,3
4905,簍,99,7
4906,韁,99,2
4907,婬,99,1
4908,婓,99,1
4909,瘐,99,3
4910,鴝,99,6
4911,囍,99,4
4912,玷,98,9
4913,幔,98,4
4914,筵,98,3
4915,糠,98,7
4916,玎,98,6
4917,堀,98,1
4918,胝,97,9
4919,倨,97,0
4920,棻,97,2
4921,鏖,97,9
4922,掔,97,1
4923,滮,97,4
4924,熇,97,4
4925,虌,97,8
4926,仃,96,4
4927,旌,96,1
4928,袞,96,1
4929,崴,96,2
4930,鴣,96,6
4931,翳,96,7
4932,纂,96,0
4933,畀,96,8
4934,葚,96,3
4935,鶩,96,0
4936,俚,95,9
4937,涔,95,0
4938,涸,95,1
4939,髻,95,6
4940,颼,95,9
4941,攣,95,3
4942,宓,95,8
4943,倬,95,0
4944,綩,95,4
4945,誏,95,4
4946,軂,95,9
4947,珞,94,0
4948,愾,94,3
4949,斡,94,4
4950,耦,94,5
4951,壕,94,7
4952,濠,94,7
4953,鍚,94,7
4954,嗲,94,3
4955,鰲,94,2
4956,捂,93,0
4957,腱,93,3
4958,讒,93,4
4959,忒,93,7
4960,忻,93,7
4961,萩,93,3
4962,羌,92,8
4963,寤,92,4
4964,踫,92,5
4965,錠,92,6
4966,鐺,92,1
4967,瓚,92,3
4968,凊,92,0
4969,紘,92,0
4970,洵,91,9
4971,盹,91,9
4972,暘,91,3
4973,錕,91,6
4974,鎊,91,8
4975,卬,91,4
4976,芴,91,8
4977,蕎,91,6
4978,鴞,91,6
4979,砝,90,0
4980,胼,90,0
4981,蛔,90,2
4982,嗑,90,3
4983,唅,90,0
4984,栲,90,0
4985,啖,89,1
4986,甌,89,6
4987,毐,89,7
4988,埼,89,1
4989,梏,89,1
4990,琱,89,2
4991,豋,89,3
4992,擤,89,7
4993,齰,89,3
4994,迤,88,9
4995,硯,88,2
4996,篾,88,7
4997,鐲,88,1
4998,癬,88,2
4999,驪,88,8
5000,囥,88,7
5001,玹,88,9
5002,桹,88,1
5003,詄,88,2
5004,鋃,88,5
5005,恒,88,9
5006,弁,87,5
5007,忸,87,7
5008,啣,87,1
5009,釦,87,1
5010,瘠,87,5
5011,鮪,87,7
5012,偆,87,1
5013,搵,87,3
5014,漉,87,4
5015,粿,87,4
5016,儆,87,5
5017,槤,87,5
5018,祗,86,0
5019,唳,86,1
5020,戡,86,3
5021,鉉,86,3
5022,紈,86,9
5023,皕,86,2
5024,蜉,86,3
5025,鴇,86,5
5026,芍,85,7
5027,掄,85,1
5028,滇,85,3
5029,皚,85,5
5030,褊,85,4
5031,駢,85,6
5032,臏,85,8
5033,黠,85,8
5034,囁,85,1
5035,鱔,85,3
5036,湳,85,2
5037,鍶,85,7
5038,懟,85,8
5039,閂,84,9
5040,砧,84,0
5041,痍,84,1
5042,貉,84,3
5043,慇,84,4
5044,擢,84,7
5045,璠,84,6
5046,汕,83,6
5047,听,83,7
5048,啕,83,1
5049,庾,83,1
5050,輊,83,3
5051,霑,83,6
5052,謄,83,7
5053,彝,83,8
5054,斕,83,1
5055,憭,83,5
5056,懌,83,6
5057,蕁,83,6
5058,鎯,83,8
5059,纇,83,1
5060,衊,83,1
5061,豕,82,7
5062,腴,82,2
5063,溥,82,3
5064,蜷,82,4
5065,褥,82,5
5066,瞼,82,8
5067,鬃,82,8
5068,醮,82,9
5069,鐳,82,1
5070,焗,82,1
5071,瞅,82,4
5072,熠,82,5
5073,嚓,82,7
5074,黧,82,0
5075,戇,82,8
5076,奐,81,9
5077,弒,81,3
5078,氈,81,7
5079,鮆,81,7
5080,囓,81,4
5081,惇,80,1
5082,蜇,80,3
5083,懍,80,6
5084,撻,80,6
5085,戽,80,8
5086,渟,80,2
5087,杷,79,8
5088,舢,79,9
5089,迨,79,9
5090,冢,79,0
5091,娌,79,0
5092,斛,79,1
5093,鄂,79,2
5094,裨,79,4
5095,燎,79,6
5096,臃,79,7
5097,餮,79,8
5098,讖,79,4
5099,秝,79,0
5100,蕘,79,6
5101,奲,79,3
5102,佃,78,7
5103,柢,78,9
5104,軻,78,2
5105,璩,78,7
5106,扺,78,7
5107,珗,78,0
5108,焂,78,1
5109,瑀,78,3
5110,萹,78,3
5111,踉,78,4
5112,皖,77,2
5113,鎰,77,8
5114,襤,77,9
5115,圴,77,6
5116,侄,77,8
5117,俵,77,0
5118,凈,77,0
5119,哧,77,0
5120,頎,77,3
5121,嶠,77,5
5122,顢,77,0
5123,灝,77,4
5124,孓,76,3
5125,岷,76,8
5126,柬,76,9
5127,鈷,76,3
5128,輓,76,4
5129,慼,76,5
5130,瓔,76,1
5131,种,76,9
5132,惙,76,1
5133,黽,76,3
5134,瑮,76,4
5135,闥,76,1
5136,髯,75,5
5137,橇,75,6
5138,簸,75,9
5139,咭,75,9
5140,畬,75,2
5141,綪,75,4
5142,蹓,75,7
5143,圻,74,7
5144,冑,74,9
5145,哂,74,9
5146,曷,74,9
5147,浹,74,0
5148,覃,74,2
5149,睥,74,3
5150,釉,74,3
5151,縞,74,6
5152,汔,74,6
5153,佘,74,7
5154,媞,74,2
5155,揕,74,2
5156,榚,74,4
5157,鄢,74,4
5158,翦,74,5
5159,鵒,74,8
5160,莢,73,1
5161,翕,73,2
5162,萋,73,2
5163,搆,73,3
5164,鎬,73,8
5165,蘑,73,0
5166,騫,73,0
5167,騾,73,1
5168,荇,73,0
5169,喢,73,2
5170,寑,73,2
5171,酢,73,2
5172,殞,73,4
5173,踰,73,6
5174,醛,73,7
5175,鱧,73,4
5176,倣,72,0
5177,陘,72,0
5178,幀,72,2
5179,鰓,72,0
5180,欷,72,1
5181,豝,72,1
5182,酚,72,1
5183,痾,72,3
5184,皙,72,3
5185,慳,72,4
5186,碓,71,3
5187,銖,71,4
5188,暹,71,6
5189,簌,71,7
5190,攷,71,6
5191,咈,71,8
5192,肏,71,8
5193,摽,71,4
5194,醚,71,7
5195,茨,70,0
5196,舷,70,1
5197,惴,70,2
5198,鈐,70,2
5199,綬,70,4
5200,膈,70,4
5201,豭,70,6
5202,濬,70,7
5203,旡,70,4
5204,峈,70,9
5205,洍,70,0
5206,焯,70,2
5207,殛,70,3
5208,裾,70,3
5209,撽,70,6
5210,橞,70,6
5211,嬲,70,7
5212,泗,69,8
5213,肱,69,8
5214,匍,69,9
5215,媾,69,3
5216,蓆,69,4
5217,鴆,69,5
5218,澧,69,6
5219,攆,69,8
5220,玀,69,2
5221,乜,69,2
5222,偀,69,1
5223,廌,69,3
5224,嫭,69,4
5225,坏,68,7
5226,怵,68,8
5227,晷,68,2
5228,瘉,68,4
5229,羸,68,9
5230,柪,68,9
5231,纍,68,1
5232,硃,67,1
5233,螻,67,7
5234,昉,67,8
5235,珩,67,0
5236,茪,67,0
5237,茯,67,0
5238,淖,67,1
5239,屣,67,4
5240,慬,67,4
5241,犘,67,5
5242,蹌,67,7
5243,淞,66,1
5244,硼,66,3
5245,犒,66,4
5246,颶,66,6
5247,蟠,66,8
5248,覲,66,8
5249,藷,66,9
5250,亍,66,3
5251,柎,66,9
5252,柺,66,9
5253,盻,66,9
5254,衾,66,0
5255,晢,66,1
5256,喑,66,2
5257,喏,66,2
5258,噉,66,5
5259,鋏,66,5
5260,璗,66,7
5261,鍘,66,7
5262,碁,66,3
5263,奘,65,0
5264,畚,65,0
5265,袈,65,1
5266,諶,65,6
5267,阯,65,7
5268,岬,65,8
5269,庛,65,9
5270,荎,65,0
5271,嗐,65,3
5272,瑗,65,3
5273,弈,64,9
5274,絀,64,1
5275,琿,64,3
5276,粳,64,3
5277,噥,64,6
5278,磴,64,7
5279,餽,64,8
5280,驃,64,1
5281,忤,64,7
5282,舺,64,1
5283,袪,64,0
5284,碥,64,4
5285,汾,63,7
5286,怛,63,8
5287,玥,63,8
5288,兗,63,9
5289,皋,63,0
5290,皰,63,0
5291,黍,63,2
5292,蒿,63,4
5293,賒,63,4
5294,豌,63,5
5295,檐,63,7
5296,麋,63,7
5297,砒,63,9
5298,掂,63,1
5299,跏,63,2
5300,煢,63,3
5301,艄,63,3
5302,葑,63,3
5303,壆,63,6
5304,遶,63,6
5305,錩,63,6
5306,瞴,63,7
5307,螯,63,7
5308,鯁,63,8
5309,瓃,63,9
5310,蠑,63,0
5311,苧,62,9
5312,旎,62,1
5313,孳,62,2
5314,裟,62,3
5315,錳,62,6
5316,簪,62,8
5317,霪,62,9
5318,彳,62,3
5319,扡,62,6
5320,厎,62,7
5321,柘,62,9
5322,悀,62,0
5323,砪,62,0
5324,掇,62,1
5325,嗒,62,3
5326,媺,62,3
5327,粲,62,3
5328,懨,62,7
5329,蹔,62,8
5330,蹭,62,9
5331,麤,62,3
5332,杓,61,7
5333,啁,61,1
5334,鉑,61,3
5335,頜,61,5
5336,褶,61,7
5337,醣,61,7
5338,齟,61,0
5339,鰥,61,1
5340,掤,61,1
5341,笳,61,1
5342,脢,61,1
5343,蛂,61,1
5344,戭,61,5
5345,蟘,61,8
5346,妁,60,6
5347,侑,60,8
5348,倀,60,0
5349,巽,60,2
5350,漕,60,4
5351,箸,60,4
5352,殮,60,7
5353,曩,60,1
5354,魑,60,1
5355,孥,60,8
5356,殂,60,9
5357,苠,60,9
5358,党,60,0
5359,凄,60,0
5360,剮,60,1
5361,豜,60,1
5362,憍,60,5
5363,囔,60,5
5364,艮,59,6
5365,幃,59,2
5366,煖,59,3
5367,冪,59,6
5368,簞,59,8
5369,瀲,59,0
5370,齬,59,2
5371,卌,59,5
5372,惼,59,2
5373,晹,59,2
5374,裎,59,2
5375,瑧,59,4
5376,儰,59,8
5377,撜,59,5
5378,阡,58,6
5379,姘,58,9
5380,枸,58,9
5381,栘,58,0
5382,舨,58,0
5383,瓠,58,1
5384,脣,58,1
5385,毽,58,3
5386,濮,58,7
5387,櫚,58,9
5388,櫬,58,0
5389,鼇,58,4
5390,汜,58,6
5391,岦,58,8
5392,衪,58,8
5393,郅,58,9
5394,旂,58,0
5395,茼,58,0
5396,雃,58,2
5397,犍,58,3
5398,竫,58,3
5399,摶,58,4
5400,榖,58,4
5401,儌,58,5
5402,獒,58,5
5403,闍,58,6
5404,騄,58,8
5405,糬,58,9
5406,鬘,58,1
5407,枇,57,8
5408,陂,57,8
5409,毬,57,1
5410,廄,57,2
5411,鞅,57,4
5412,輜,57,5
5413,褡,57,5
5414,怙,57,8
5415,琣,57,2
5416,腊,57,2
5417,痹,57,3
5418,樨,57,6
5419,濋,57,6
5420,苒,56,9
5421,掖,56,1
5422,釭,56,1
5423,媧,56,2
5424,愆,56,3
5425,楝,56,3
5426,萵,56,3
5427,銨,56,4
5428,鴒,56,6
5429,贗,56,2
5430,洁,56,9
5431,庳,56,1
5432,馗,56,1
5433,絣,56,2
5434,傱,56,3
5435,畹,56,3
5436,潀,56,4
5437,斲,56,5
5438,貘,56,8
5439,氖,55,6
5440,狎,55,8
5441,肴,55,8
5442,痂,55,0
5443,銑,55,4
5444,褫,55,5
5445,鍬,55,7
5446,咂,55,8
5447,坨,55,8
5448,掞,55,1
5449,摠,55,4
5450,盦,55,6
5451,鋹,55,6
5452,鴟,55,6
5453,顴,55,7
5454,叵,54,5
5455,篁,54,5
5456,嬝,54,6
5457,贍,54,0
5458,峗,54,9
5459,挴,54,0
5460,窆,54,0
5461,琚,54,2
5462,竤,54,2
5463,跫,54,3
5464,撘,54,5
5465,獪,54,6
5466,鱒,54,3
5467,伉,53,6
5468,郃,53,9
5469,涇,53,0
5470,盍,53,0
5471,鈸,53,3
5472,旖,53,4
5473,璘,53,6
5474,瞟,53,6
5475,縝,53,6
5476,饜,53,3
5477,扦,53,6
5478,哖,53,9
5479,悒,53,0
5480,揃,53,2
5481,稗,53,3
5482,触,53,3
5483,璊,53,5
5484,閰,53,5
5485,鍺,53,6
5486,瞱,53,7
5487,蹇,53,7
5488,蹩,53,8
5489,鵟,53,8
5490,饌,53,0
5491,佻,52,8
5492,泅,52,8
5493,盂,52,8
5494,浥,52,0
5495,赧,52,1
5496,萸,52,2
5497,睢,52,3
5498,稞,52,3
5499,潼,52,5
5500,螟,52,6
5501,夔,52,1
5502,怜,52,8
5503,邯,52,8
5504,苻,52,9
5505,雰,52,2
5506,祼,52,2
5507,艉,52,3
5508,餬,52,7
5509,燹,52,8
5510,櫸,52,1
5511,怏,51,8
5512,枴,51,9
5513,柞,51,9
5514,洮,51,9
5515,匐,51,1
5516,堊,51,1
5517,飭,51,2
5518,瘧,51,4
5519,燧,51,7
5520,牘,51,9
5521,霰,51,0
5522,芃,51,7
5523,妺,51,8
5524,怢,51,8
5525,怍,51,8
5526,芫,51,8
5527,苤,51,9
5528,痒,51,1
5529,螈,51,6
5530,鍇,51,7
5531,櫪,51,0
5532,蚩,50,0
5533,戢,50,3
5534,賅,50,3
5535,榫,50,4
5536,薨,50,7
5537,鍥,50,7
5538,歟,50,8
5539,魍,50,8
5540,网,50,6
5541,孢,50,8
5542,喎,50,2
5543,琡,50,2
5544,嶂,50,4
5545,噌,50,5
5546,澔,50,5
5547,諴,50,6
5548,橿,50,7
5549,襁,50,6
5550,鞥,50,8
5551,塋,49,3
5552,痱,49,3
5553,儈,49,5
5554,瘸,49,6
5555,蕈,49,6
5556,櫛,49,7
5557,璦,49,7
5558,穠,49,8
5559,鏜,49,9
5560,矓,49,1
5561,衢,49,4
5562,卲,49,7
5563,氡,49,9
5564,迣,49,9
5565,凎,49,0
5566,揠,49,2
5567,琰,49,2
5568,綃,49,3
5569,裐,49,2
5570,鉞,49,3
5571,鶻,49,1
5572,矘,49,5
5573,杠,48,7
5574,洌,48,9
5575,踟,48,5
5576,燐,48,6
5577,磬,48,6
5578,薜,48,7
5579,蠡,48,1
5580,麝,48,1
5581,粄,48,0
5582,荖,48,0
5583,埥,48,1
5584,堎,48,1
5585,蛁,48,1
5586,媜,48,2
5587,菾,48,2
5588,軫,48,2
5589,瑢,48,4
5590,踊,48,4
5591,勱,48,5
5592,謮,48,8
5593,讎,48,3
5594,轤,48,3
5595,灠,48,4
5596,褂,47,3
5597,蕞,47,6
5598,薊,47,7
5599,醴,47,0
5600,炅,47,8
5601,俛,47,9
5602,婕,47,1
5603,屙,47,1
5604,庹,47,1
5605,掅,47,1
5606,琲,47,2
5607,遄,47,3
5608,嫚,47,4
5609,摰,47,5
5610,憸,47,7
5611,擗,47,6
5612,魽,47,6
5613,圬,46,6
5614,苣,46,9
5615,酊,46,9
5616,舐,46,0
5617,綰,46,4
5618,瀋,46,8
5619,囀,46,1
5620,峓,46,9
5621,殄,46,9
5622,琁,46,1
5623,荺,46,1
5624,逋,46,1
5625,棓,46,2
5626,棱,46,2
5627,閞,46,3
5628,噘,46,5
5629,熵,46,5
5630,蓳,46,5
5631,鴗,46,6
5632,篳,46,7
5633,囫,45,7
5634,抿,45,8
5635,疥,45,9
5636,粕,45,1
5637,筧,45,3
5638,犖,45,4
5639,獐,45,4
5640,錙,45,6
5641,訄,45,9
5642,捋,45,0
5643,蛘,45,2
5644,暋,45,3
5645,駖,45,5
5646,諡,45,6
5647,薾,45,8
5648,鶚,45,0
5649,鰡,45,1
5650,俳,44,0
5651,梔,44,1
5652,涮,44,1
5653,酩,44,3
5654,縵,44,7
5655,鯧,44,9
5656,轡,44,2
5657,忮,44,7
5658,冼,44,8
5659,囹,44,8
5660,芵,44,8
5661,虯,44,8
5662,咾,44,9
5663,衁,44,9
5664,浼,44,0
5665,茬,44,0
5666,眭,44,1
5667,椄,44,2
5668,琤,44,2
5669,搐,44,3
5670,絻,44,3
5671,裞,44,3
5672,綷,44,4
5673,窳,44,5
5674,醍,44,6
5675,闃,44,7
5676,隬,44,7
5677,灕,44,2
5678,躝,44,4
5679,紉,43,9
5680,挈,43,0
5681,砟,43,0
